Issue Type,Summary,Description,Parent,Story Points,Priority
Story,List dinosaurs without tracking device or location,"As an investigator, I want to identify dinosaurs that have no tracking device assigned or no registered location, so that I can prioritize which specimens need immediate attention.

Acceptance Criteria:
- AC1: The system uses LINQ to filter dinosaurs where Phone is null or empty.
- AC2: The system uses LINQ to filter dinosaurs where Address is null or empty.
- AC3: Both lists are displayed separately with a clear label.
- AC4: If all dinosaurs have the data, the system shows an appropriate message.",SCRUM-6,2,Medium
Story,List dinosaurs sorted by date and alphabetically by species,"As an investigator, I want to view dinosaurs ordered by their registration date or alphabetically by species, so that I can easily navigate the registry in a structured way.

Acceptance Criteria:
- AC1: The system uses LINQ OrderBy to sort by CreatedAt descending (most recent first).
- AC2: The system uses LINQ OrderBy to sort alphabetically by LastName (species).
- AC3: Both orderings are available as separate options.",SCRUM-6,2,Low
Story,Update dinosaur data fields,"As an investigator, I want to modify the stored information of a registered dinosaur, so that the system always reflects the most accurate and up-to-date data for each specimen.

Acceptance Criteria:
- AC1: The system allows updating any field of the Dinosaur entity (required and optional).
- AC2: After updating, the system saves the changes to the database via EF Core.
- AC3: The system displays a confirmation message once the update is successful.
- AC4: Required fields (FirstName, LastName, Username, Email) cannot be set to empty.",SCRUM-7,3,Medium
Story,Update dinosaur security code with confirmation,"As an investigator, I want to change the security code (password) of a dinosaur record with a confirmation step, so that accidental or unauthorized changes are prevented.

Acceptance Criteria:
- AC1: The system prompts for the new security code and asks for confirmation (enter it twice).
- AC2: If both entries match, the security code is updated and a success message is shown.
- AC3: If the entries do not match, the update is rejected and an error message is displayed.
- AC4: The security code is not stored or displayed in plain text in the output.",SCRUM-7,2,Medium
Story,Delete dinosaur by ID with confirmation,"As an investigator, I want to remove a dinosaur from the registry by its ID after confirming the action, so that accidental deletions do not result in permanent data loss without intent.

Acceptance Criteria:
- AC1: The system prompts the investigator to enter the dinosaur ID to delete.
- AC2: Before deleting, the system displays the message: ""Are you sure you want to delete this dinosaur? (Y/N)"".
- AC3: If confirmed (Y), the record is deleted and a success message is shown.
- AC4: If rejected (N), no changes are made.
- AC5: If the ID does not exist, an appropriate error message is displayed.",SCRUM-8,2,Medium
Story,Delete dinosaur by registration code with confirmation,"As an investigator, I want to remove a dinosaur from the registry by its registration code (email) after confirming the action, so that lab records can be cleared using the code assigned at registration.

Acceptance Criteria:
- AC1: The system prompts the investigator to enter the registration code (email) to delete.
- AC2: Before deleting, the system displays: ""Are you sure you want to delete this dinosaur? (Y/N)"".
- AC3: If confirmed (Y), the record is deleted and a success message is shown.
- AC4: If rejected (N), no changes are made.
- AC5: If the email does not exist, an appropriate error message is displayed.",SCRUM-8,1,Medium
Story,Create system diagrams,"As an investigator, I want the system to be accompanied by formal documentation diagrams, so that the design and behavior of the system can be understood and reviewed by the scientific and academic team.

Acceptance Criteria:
- AC1: A flowchart diagram covering the main system flows is created.
- AC2: A use case diagram identifying the actor (Investigator) and all system use cases is created.
- AC3: A class diagram showing the Dinosaur entity, DbContext, and their relationships is created.",SCRUM-9,3,Low
Story,Set up GitHub repository with conventional commits,"As an investigator, I want the project source code hosted on GitHub with a consistent commit history, so that the development process is traceable and meets academic submission standards.

Acceptance Criteria:
- AC1: A public GitHub repository is created for the project.
- AC2: All commits follow the conventional commits format (feat:, fix:, refactor:, docs:, chore:).
- AC3: The repository contains the full project source code organized by module.",SCRUM-9,2,Low
Story,Document system in Docusaurus,"As an investigator, I want the system functionality documented in Docusaurus, so that any team member can understand how to use and maintain the system.

Acceptance Criteria:
- AC1: A Docusaurus site is configured for the project.
- AC2: Documentation covers all modules: Insertion, Queries, Update, and Deletion.
- AC3: The site includes setup instructions (migrations, connection string, running the app).",SCRUM-9,3,Low
Story,Register activity evidence in Jira,"As an investigator, I want all development activities tracked in Jira, so that the project progress is visible and auditable for academic review.

Acceptance Criteria:
- AC1: All Epics and User Stories are created in Jira before development starts.
- AC2: Each story is moved through the appropriate status columns (To Do → In Progress → Done).
- AC3: Screenshots or exports of the Jira board are included as evidence in the deliverable.",SCRUM-9,1,Low
